,Class,Subclass,Condena,Location,Victims,Date murder,Date Detention,Victim Profile
0,Asesina,Asfixia eróticamente a su amante y le corta el pene y los testículos,Condenada a 6 años de prisión el 21 de diciembre de 1936. Puesta en libertad el 17 de mayo de 1941. Muere con posterioridad a 1970,"Tokio, Japón",1,18 de mayo de 1936,21 de mayo de 1936,28 de mayo de 1905
1,Homicida,¿Transexual?,"Ejecutada en la horca en la prisión de Strangeways, el 12 de enero de 1949","Lancashire, Inglaterra, Gran Bretaña",1,29 de agosto de 1948,1 de septiembre de 1948,1906
2,Asesina en serie,Envenenadora,Murió en 1928 en una Institución Mental,"Hartford, Estados Unidos (Connecticut)",5 +,1901 - 1914,1869,Personas mayores
3,Asesina,Crimen premeditado - Celos - Mató para evitar que la víctima pudiera tener una relación sentimental con otra mujer,Condenada a cadena perpetua el 13 de abril de 2015,"Mesa, Estados Unidos (Arizona)",1,4 de junio de 2008,15 de julio de 2008,9 de julio de 1980
4,Asesina,Infanticida,Condenada a cadena perpetua sin posibilidad de libertad condicional el 8 de septiembre de 2008,"Dayton, Estados Unidos (Ohio)",1,30 de agosto de 2005,27 de noviembre de 2006,29 de marzo de 1980
5,Asesina,"Infanticidio - Confesó que mató a los niños debido a su incapacidad para pagar las facturas y por temor al rechazo de su pareja sentimental, quien reconoció sus amenazas",Condenada a cadena perpetua por tres cargos de asesinato el 31 de marzo de 2006. Los expertos dijeron que no podían descartar que alguno de los bebés hubiera nacido muerto,"Graz, Austria",4,2000 - 2005,Junio de 2005,1972
6,Asesina,Robo,"Condenada a pena de muerte en febrero de 1903. Indultada. Permaneció en el penal de Alcalá de Henares hasta que, en 1937, en la zona republicana se abrieron las cárceles a los presos. Desde aquel momento no volvió a saberse más de ella","Madrid, España",1,22 de junio de 1902,8 de julio de 1902,1880
7,Asesina,Celos,Condenada a 30 años de prisión el 5 de noviembre de 2007,"Santo Domingo, República Dominicana",2,23 de marzo de 2007,2 de abril de 2007,1978
8,Asesina,Robo,Ejecutada en el garrote vil el sábado 19 de junio de 1890,"Madrid, España",1,1 de julio de 1888,2 de julio de 1888,1862
9,Asesina en serie,Envenenadora,Condenada a 84 años en prisión el 26 de septiembre de 2005,"Melilla, España",3,1990 / 2004,7 de junio de 2004,1969
10,Asesina,Los médicos forenses describieron el caso como «el caso de abuso físico más terrible del estado de Indiana»,Condenada a cadena perpetua sin posibilidad de libertad condicional el 24 de mayo de 1966. Sentencia modificada. Condenada de 18 años en prisión a cadena perpetua. Obtiene la libertad condicional el 4 de diciembre de 1985. Muere el 16 de junio de 1990,"Indianápolis, Estados Unidos (Indiana)",1,26 de octubre de 1965,26 de octubre de 1965,19 de septiembre de 1929
11,Asesina en serie,Envenenadora,Ejecutada por inyección letal el 2 de noviembre de 1984,"Robeson, Estados Unidos (Carolina del Norte)",5 - 7,1969 - 1978,13 de mayo de 1978,29 de octubre de 1932
12,Homicida,Parricida,Fue absuelta el 5 de julio de 1932,"Londres, Inglaterra, Gran Bretaña",1,31 de mayo de 1932,3 de junio de 1932,1905
13,Asesina en serie,Robos,Condenada a 759 años de prisión el 31 de marzo de 2008,"México, D. F., México",11 +,2002 - 2006,24 de enero de 2006,27 de diciembre de 1958
14,¿Asesina?,Envenenadora - Parricida,Fue absuelta el 17 de abril de 1886,"Londres, Inglaterra, Gran Bretaña",¿1?,1 de enero de 1886,1856,"Thomas Edwin Bartlett, de 40 años (su marido)"
15,Asesina,Canibalismo - Descuartizamiento,Condenada a 10 años de prisión en 1973. Puesta en libertad en noviembre de 1979,"Buenos Aires, Argentina",1,24 de marzo de 1973,28 de marzo de 1973,1911
16,Asesina,Secuestro - Tortura - Para cobrar el seguro de vida,Condenada a pena de muerte el 1 de septiembre de 1999. Ejecutada por inyección letal en Huntsville el 5 de febrero de 2014,"Houston, Estados Unidos (Texas)",1,25 de agosto de 1998,15 de mayo de 1954,"Louis «Buddy» Musso, de 59 años"
17,Asesina,Envenenadora - Fraude,Ejecutada en la horca el 20 de marzo de 1809,"Bramley, Inglaterra, Gran Bretaña",1,16 de mayo de 1807,Enero de 1809,1768
18,Asesina en serie,Robos,Fue ejecutada en la silla eléctrica el 8 de marzo de 1951,"Varios lugares, Estados Unidos (Illinois), Estados Unidos (Michigan), Estados Unidos (Nueva York)",4 +,1948 - 1949,28 de febrero de 1949,6 de mayo de 1919
19,Asesina,Envenenadora - Por provecho económico,Ejecutada en la guillotina el 23 de julio de 1908,"Brand, Sajonia, Alemania",1,13 de mayo de 1907,26 de junio de 1907,15 de septiembre de 1885
20,Homicida,Menor de edad (11),"Declarada culpable de ""asesinato en segundo grado debido a su falta de responsabilidad"" el 17 de diciembre de 1968, y sentenciada a prisión indefinida. Puesta en libertad en 1980","Inglaterra, Gran Bretaña",2,Mayo / Julio 1968,1 de agosto de 1968,26 de mayo de 1957
21,Infanticida,Parricida,Condenada a 35 años de prisión el 26 de noviembre de 2012. Sentencia rebajada a 20 años de prisión por el Tribunal Superior de Justicia de Andalucía el 22 de marzo de 2013,"Jaén, España",2,29 de septiembre de 2011,Mismo día,1976
22,Asesina en serie,¿Envenenadora?,Fue absuelta. Murió el de 15 febrero de 1980,"Loudun, Francia",¿13?,1927 - 1949,21 de julio de 1949,1896
23,Asesina,Parricida - Introdujo el cadáver en un baúl y lo envió por tren a Nancy,Condenada a 20 años de trabajos forzados el 21 de junio de 1922. Muere en 1930,"Paris, Francia",1 +,21 de julio de 1920,5 de agosto de 1920,25 de octubre de 1868
24,Asesina en masa,Envenenadora - Mató a a su marido y a otros 16 familiares porque la obligaron a casarse,En prisión a la espera de juicio,"Muzaffargarh, Pakistán",17,25 de octubre de 2017,Mismo día,1996
25,Asesina,Parricida - Envenenadora,Ejecutada en la horca el 6 de abril de 1752,"Inglaterra, Gran Bretaña",1,14 de agosto de 1751,14 de agosto de 1751,1719
26,¿Asesina?,Parricida,Absuelta. Murió el 1 de junio de 1927,"Fall River, Estados Unidos (Massachusetts)",2,4 de agosto de 1892,1860,Sus padres
27,Asesina,Despecho,Condenada a cadena perpetua el 10 de diciembre de 1953,"Nantes, Francia",1,27 de febrero de 1953,27 de febrero de 1953,1930
28,¿Asesina?,"Uno de los más famosos crímenes de la época victoriana que, oficialmente, continúa sin resolver",Florence Bravo murió alcoholizada el 13 de septiembre de 1878,"Londres, Inglaterra, Gran Bretaña",¿1?,21 de abril de 1876,"Su marido, Charles Delauny Turner Bravo, de 32 años",Veneno (antimonio)
29,Asesina,Envenenadora,Fue decapitada y su cuerpo quemado el 16 de julio de 1676,"París, Francia",54 +/-,1664 - 1673,25 de marzo de 1676,22 de julio de 1630
30,Asesina en serie,Secuestros - Violaciones - Asaltos armados,Fue condenada a muerte en Indiana el 23 de junio de 1986. La sentencia fue conmutada a cadena perpetua en 1991,"Varios, Estados Unidos (Illinois), Estados Unidos (Indiana), Estados Unidos (Ohio)",8,Mayo - Julio de 1984,20 de julio de 1984,11 de noviembre de 1962
31,Asesina,Envenenadora - Parricida,Ejecutada en la horca el 15 de julio de 1936,"Dorset, Inglaterra, Gran Bretaña",1,22 de diciembre de 1935,10 de febrero de 1936,1904
32,Asesina en serie,Intereses económicos,Ejecutada en la silla eléctrica en Florida el 30 de marzo de 1998,"Varias, Estados Unidos (Colorado), Estados Unidos (Florida)",3,1971 - 1980,11 de enero de 1984,4 de abril de 1943
33,Homicida,"Menor de edad (15) - Su único propósito era matar a alguien solo por curiosidad para saber ""que se sentía""",Condenada a cadena perpetua con posibilidad de libertad condicional el 8 de febrero de 2012,"Cole County, Estados Unidos (Missouri)",1,21 de octubre de 2009,23 de octubre de 2009,28 de enero de 1994
34,Homicida,"La esposa del ministro francés de finanzas, Joseph Caillaux",Absuelta el 28 de julio de 1914. Murió en 1943,"París, Francia",1,16 de marzo de 1914,16 de marzo de 1914,6 de diciembre de 1874
35,Asesina,"Envenenadora - Parricida - El móvil fue quedarse con el dinero de la cuenta bancaria de la familia, a la que sólo la víctima tenía acceso",Condenada a 19 años de cárcel por un delito de asesinato con el agravante de parentesco y un año y diez meses por un delito de falsedad en documento mercantil,"Socuéllamos, Ciudad Real, España",1,28 de abril de 2000,1955,"Su marido, Juan José Mena Zarco"
36,Asesina,Asesinato por encargo,"Las contradicciones de Ángela en su declaración hicieron que el juez ordenara su ingreso en la cárcel. Horas después, fruto de una aguda indagación de la Guardia Civil, se procedió a la detención de Teodoro Palomares Redondo, que en seguida delató a Ángela","Saceruela, Ciudad Real, España",1,5 de junio de 1963,"Juan José Delgado Cabanillas, de 33 años (su marido)",Arma de fuego
37,Asesina,Parricida - Celos y desencuentros de un duro trámite de separación,Condenada a 19 años y medio de prisión el 15 de noviembre de 2011,"Bollullos de la Mitación, Sevilla, España",1,15 de junio de 2008,29 de julio de 2008,1956
38,Asesina,Parricidio - Descuartizamiento,Condenada a cadena perpetua el 22 de noviembre de 2012,"Viena, Austria",2,2008 / 2010,10 de junio de 2011,6 de septiembre de 1978
39,Asesina,Suministraba sobres con veneno a clientas deseosas de acabar con la vida de sus familiares,Condenada a muerte como autora responsable de cuatro delitos de asesinato. La sentencia fue recurrida y se dictó otra en la que fue condenada a la pena de treinta años de reclusión mayor por cada uno de sus crímenes,"Palma de Mallorca, España",4,1939 - 1940,"Andrés Pedrosa, Miguel Massot, María Mesquida y Pedro Garán (familiares de sus clientas)",Veneno (arsénico y bario)
40,Homicida,Parricida,Fue absuelta el 5 de noviembre de 1952,"Orleans, Francia",1,12 de agosto de 1951,12 de agosto de 1951,1911
41,Asesina,Parricida,Ejecutada en la horca el 15 de diciembre de 1954,"Varios lugares, Chipre, Gran Bretaña",2,1925 / 1954,29 de julio de 1954,1900
42,Asesina en serie,Convirtió a sus víctimas en jabón y pastelitos,"Juzgada el 12 de junio de 1946. Fue condenada a treinta años de prisión y tres años en un psiquiátrico penitenciario. Murió por una apoplejía cerebral en el psiquiátrico penitenciario de mujeres de Pozzuoli, el 15 de octubre de 1970","Correggio, Italia",3,1939 - 1940,14 de noviembre de 1893,"Ermelinda Faustina Setti / Francesca Clementina Soavi, 73 / Virginia Cacioppo"
43,Homicida,Menor de edad (15 años) - Robo,Condenada a pena de muerte el 11 de julio de 1986. Conmutada por 60 años de prisión el 18 de agosto de 1989. Sentencia reducida a 27 años de prisión. Puesta en libertad el 17 de junio de 2013. Se suicida disparándose en la cabeza el 26 de mayo de 2015,"Gary, Estados Unidos (Indiana)",1,14 de mayo de 1985,25 de agosto de 1969,"Ruth Pelke, de 78 años"
44,Asesina,Consideraba a Marat un tirano y el causante de los males de la Revolución,Ejecutada en la guillotina el 17 de julio de 1793,"París, Francia",1,13 de julio de 1793,13 de julio de 1793,27 de julio de 1768
45,Infanticida,"Al primer recién nacido lo quemó y a los otros dos los guardó, durante varios años, en un congelador, en su propia casa",Condenada a 8 años de prisión el 18 de junio de 2009. Puesta en libertad el 18 de mayo de 2010.,"Varias, Corea del Sur, Francia",3,1999 / 2002 / 2003,23 de julio de 2006,1968
46,Homicida,Menor de edad (14) - Defendiendo a su madre,"El jurado emitió el veredicto de ""homicidio justificado""","Beverly Hills, Estados Unidos (California)",1,4 de abril de 1958,4 de abril de 1958,25 de julio de 1943
47,Asesina,Envenenadora,Ejecutada en la silla eléctrica el 19 de julio de 1936,"Varios lugares, Estados Unidos (Nueva Jersey), Estados Unidos (Nueva York)",1 - 3,1923 / 1935,9 de octubre de 1935,29 de julio de 1899
48,Asesina en serie,Parricidio - Intereses económicos,Ejecutada por ahorcamiento en la Prisión Central de Pretoria el 30 de diciembre de 1932,"Germiston, Gauteng, Sudáfrica",3,1923 / 1927 / 1932,Abril de 1932,1 de junio de 1886
49,Homicida,Una médico obsesionada con que todo el mundo la «espiaba» recorrió un centro sanitario dando cuchilladas a diestro y siniestro,"Condenada a un máximo de 25 años de internamiento en un psiquiátrico penal el 7 de junio de 2006. Puesta en libertad, bajo tratamiento ambulatorio y custodia familiar el 6 de octubre de 2017","Madrid, España",3,3 de abril de 2003,Mismo día,1971
50,Asesina,Envenenadora - Adoptaba niños no deseados para cuidarlos a cambio de dinero,Ejecutada en la horca en la prisión de Invercargill el 12 de agosto de 1895,"East Winton, Nueva Zelanda",2 - 3 +,1889 - 1895,2 de mayo de 1895,2 de septiembre de 1844
51,Asesina,Parricida - Su madre no consentía la relación con su novio,Condenada a 30 años de prisión el 15 de mayo de 1953,"Villargordo del Cabriel, Valencia, España",1,18 de enero de 1952,30 de enero de 1952,1 de enero de 1930
52,Asesinato por encargo,¿Celos? - Delgado atrajo presuntamente a dos cómplices con promesas de dinero y suministro constante de drogas,En prisión a la espera de ser juzgada,"Dallas, Estados Unidos (Texas)",1,2 de septiembre de 2015,8 de abril de 2016,18 de junio de 1982
53,Asesina en serie,"«Maté para ver cómo me sentía, para divertirme (…) Luego le cogí el gusto»",Condenada a cadena perpetua el 28 de febrero de 2014,"Peterborough, Inglaterra, Gran Bretaña",3,19 - 29 de marzo de 2013,2 de abril de 2013,1982
54,Asesina,Ciencias ocultas - Envenenamiento por encargo - Fue una de las personas involucradas en el llamado «Asunto de los Venenos»,"Condenada a muerte por brujería y quemada viva en la plaza de Grève, en París, el 22 de febrero de 1680","París, Francia",Numerosas,1660s - 1679,12 de marzo de 1679,c. 1640
55,Asesina,20 +,"Pasó 11 años en la cárcel central de Gwalior, en Madhya Pradesh y fue puesta en libertad sin juicio en 1994. El 25 de julio de 2001 fue asesinada a tiros por tres hombres armados y enmascarados en Nueva Delhi","Uttar Pradesh, India",30 de enero de 1981,Febrero de 1983,10 de agosto de 1963,Hombres (aldeanos de casta superior)
56,Asesina,Ataque de celos,"La asesina reconoció los hechos el mismo día de su detención. Con el paso del tiempo se negó a prestar declaración asistida por un abogado, aceptando no obstante hacerlo ante el juez, quien, tras oírla, ordenó su ingreso en la prisión de Soto del Real","Madrid, España",1,22 de agosto de 1999,22 de agosto de 1999,"Adolfo Pastor Ibáñez, de 45 años (su marido)"
57,Asesina,Parricidio - Descuartizamiento,Condenada a cadena perpetua. En libertad en 1958,"Ontario, Canadá",2 +,1944 / 1946,19 de marzo de 1946,13 de octubre de 1920
58,Asesina,Intereses económicos,"Condenada por la Audiencia Provincial de Palma de Mallorca a treinta años de prisión mayor; cumplió ocho años de cárcel en los centros penitenciarios de Palma, Alcalá y Yeserías. Murió en extrañas circunstancias en noviembre de 1986","Mallorca, España",1 - 5,1960s,"Juana María Domingo Bisquerra (su tía) - También fue acusada de la muerte de sus dos hijos, Rafael Ángel y María Luisa Coll; su marido, Pedro Coll Mestres, y su tío, Luis Palmer Camps",Veneno (arsénico)
59,Asesina en serie,Parricidio - Intereses económicos,Condenada a cadena perpetua el 17 de mayo de 1955. Murió de leucemia el 2 de junio de 1965,"Varios lugares, Estados Unidos (Alabama), Estados Unidos (Carolina del Norte), Estados Unidos (Kansas), Estados Unidos (Oklahoma)",8 - 11,1920s - 1954,Octubre de 1954,4 de noviembre de 1905
60,Asesina,Celos,Condenada a cadena perpetua en 1953. Puesta en libertad en 1959. Fallecida el 22 de septiembre de 1963 en Essaouira,"París, Francia",1,16 de marzo de 1951,16 de marzo de 1951,11 de marzo de 1926
61,Asesina,Crimen por encargo - Contrató a tres policías para secuestrar y matar a su marido,Condenada a 18 años de prisión el 20 de septiembre de 2010,"Monte Grande, Buenos Aires, Argentina",1,27 de agosto de 2007,Mismo día,1963
62,Asesina,Asesinato por encargo (contrató a 2 hombres),Ejecutada en la cámara de gas en San Quintín el 8 de agosto de 1962,"Santa Barbara, Estados Unidos (California)",1,17 de noviembre de 1958,Diciembre de 1958,1904
63,Asesina,Envenenadora,Internada en el Psiquiátrico Penitenciario de Broadmoor. Murió en 19 de septiembre de 1907,"Brighton, Inglaterra, Gran Bretaña",1,1 de junio de 1871,3 de octubre de 1828,"Sidney Albert Barker, de 4 años"
64,Asesina,Porque el niño no pudo memorizar los pasajes del Corán - Quemó el cuerpo de su hijo para destruir cualquier prueba,Condenada a cadena perpetua (mínimo 17 años) el 7 de enero de 2013,"Cardiff, Gales, Gran Bretaña",1,12 de julio de 2010,1979,"Su hijo Ege Yaseen, de 7 años"
65,Asesina,Celos - Despecho,Ejecutada en la horca el 21 de julio de 1955,"Londres, Inglaterra, Gran Bretaña",1,10 de abril de 1955,El mismo día (se entrega),9 de octubre de 1926
66,Asesina,Parricidio,Condenada a 30 años de prisión el 24 de septiembre del 2012,"Lince, Lima, Perú",1,26 de enero de 2010,9 de febrero de 2010,1987
67,Homicida,Parricida,Fue absuelta. Murió en París el 2 de enero de 1971,"Londres, Inglaterra, Gran Bretaña",1,9 de julio de 1923,El mismo día,Diciembre de 1890
68,¿Asesina?,¿Celos? - La investigación no pudo determinar con exactitud si Elena Fernández pretendía cometer un asesinato,Murió el mismo día que se produjo el fallecimiento de su amante,"Sevilla, España",1,22 de marzo de 1972,Manuel Fernández Troncoso (su amante),Veneno (sobredosis de fármacos)
69,Asesina,Parricida - Los motivos son desconocidos,Condenada a 40 años de prisión el 24 de octubre de 2003. Sentencia rebajada en apelación a 30 años de prisión el 17 de febrero de 2005,"Nueva Gales del Sur, Australia",4,1989 - 1999,19 de abril de 2001,14 de junio de 1967
70,Asesina,Parricida - Celos,Condenada a 18 años de prisión el 20 de noviembre de 2012,"Paso Córdoba, Argentina",1,1 de enero de 2012,1 de enero de 2012,18 de abril de 1951
71,Asesina en serie,Ayudaba a su marido Gerald Armond Gallego a cometer los secuestros y los asesinatos,Fue condenada a 16 años de prisión el 21 de junio de 1983,"Varios lugares, Estados Unidos (California), Estados Unidos (Nevada), Estados Unidos (Oregón)",10,1978 - 1980,17 de noviembre de 1980,10 de octubre de 1956
72,Asesina,Celos - Robo - Agresión sexual,"La Audiencia de Málaga condenó a Ana Gema García, Agustín Cortés y Juan Navarro a 30 años de prisión el 22 de julio de 2002","Álora, Málaga, España",1,10 de septiembre de 2000,1 de diciembre de 2000,1981
73,Asesina,Parricidio,"Condenada a la pena de muerte por parricidio, se interpuso recurso alegando aplicación indebida de la circunstancia de premeditación. El Tribunal Supremo estimó el recurso, anuló la sentencia y condenó a la procesada, como autora de un delito de parricidio con la agravante de empleo de veneno, a la pena de 30 años de reclusión mayor","Vila-real, Castellón, España",1,21 de agosto de 1955,José Ballester Galindo (su marido),Veneno (arsénico vertido en chocolate)
74,Asesina,Envenenadora - Drogó a 13 ancianos para robarles la jubilación,Condenada a 24 años de prisión el 27 de diciembre de 2004,"Córdoba, Argentina",2,Mayo - Agosto de 2003,29 de agosto de 2003,1947
75,Asesina,Encargó a su amante que matara a su marido para poder cobrar un seguro de vida y quedarse con la casa,Condenada a pena de muerte el 20 de noviembre de 1998. Ejecutada por inyección letal en la prisión de Jackson el 30 de septiembre de 2015,"Gwinnett, Estados Unidos (Georgia)",1,7 de febrero de 1997,8 de marzo de 1968,"Su marido, Douglas Gissendaner, de 30 años"
76,Asesina,Ex policía - Triángulo amoroso,Condenada a 13 años de prisión el 18 de mayo de 2011. La Corte Suprema de Justicia revocó parcialmente ese fallo. Condenada a cadena perpetua el 13 de octubre de 2015,"Yerba Buena, Tucumán, Argentina",1,26 de noviembre de 2004,Día siguiente,1979
77,Asesina,Envenenadora,Ejecutada en el garrote vil el 29 de octubre de 1896,"Murcia, España",2,8 de diciembre de 1893,Día siguiente,1861
78,Asesina,Parricida,Condenada a 40 años de prisión el 3 de noviembre de 2003,"Santomera, Murcia, España",2,19 de enero de 2002,Dos días después,1967
79,Asesina en serie,Envenenadora,Ejecutada por decapitación en 1831,"Bremen, Alemania",15,1822 - 1825,6 de marzo de 1828,1785
80,Asesina en serie,Auxiliar de enfermería - Mató a sus pacientes para reforzar un «pacto de amor» con su amante,Condenada a cadena perpetua el 3 de noviembre de 1989,"Walker, Estados Unidos (Michigan)",5,Enero - Abril de 1987,Diciembre de 1988,6 de agosto de 1963
81,Asesina en serie,Afirmó que robaba las tarjetas de crédito de sus víctimas porque tenía la necesidad de comprar,Condenada a cadena perpetua sin posibilidad de libertad condicional el 16 de octubre de 1998,"Canyon Lake, condado de Riverside, Estados Unidos (California)",3,Febrero - Marzo de 1994,16 de marzo de 1994,6 de diciembre de 1957
82,Asesina,Parricida - Se había separado recientemente de su marido y éste amenazó con quitarle sus hijos,Condenada a 60 años de prisión en mayo de 1953,"Barcelona, España",2,1 de junio de 1951,1 de junio de 1951,????
83,Asesina en serie,Parricida - Seguros de vida,Nunca fue juzgada. ¿Murió en Los Ángeles en 1908?,"Varios lugares, Estados Unidos (Illinois), Estados Unidos (Indiana)",13 - 42,1880's - 19??,11 de noviembre de 1859,"Hijos, maridos y amantes"
84,Asesina en serie,Envenenadora,Ejecutada en la silla eléctrica en Ohio el 7 de diciembre de 1938,"Varios lugares, Estados Unidos (Colorado), Estados Unidos (Ohio)",5 +,1932 - 1937,Septiembre de 1937,7 de julio de 1906
85,Asesina,Intereses económicos (cobro de un seguro de vida),"Condenada a prisión perpetua en el año 2000 por homicidio calificado agravado por el vínculo, con alevosía y con concurso premeditado de dos o más personas. Huyó en 2005 y desde entonces se encuentra desaparecida. En 2015, el gobierno bonaerense ofreció una recompensa monetaria a quien puediera aportar datos sobre su paradero","Benavídez, Buenos Aires, Argentina",1,8 de junio de 1998,8 de junio de 1998,12 de abril de 1961
86,Asesina,Celos - Despecho,Condenada de 15 años a cadena perpetua el 24 de febrero de 1981. El gobernador Mario Cuomo conmuta su sentencia el 29 de diciembre de 1992. Puesta en libertad el 23 de enero de 1993. Muere el 23 de diciembre de 2012,"Westchester, Estados Unidos (Nueva York)",1,10 de marzo de 1980,10 de marzo de 1980,27 de abril de 1923
87,Asesina,Parricida - Descuartizamiento,Ejecutada en la hoguera el 9 de mayo de 1726,"Londres, Inglaterra, Gran Bretaña",1,2 de marzo de 1726,28 de marzo de 1726,1690
88,Asesina en masa,Venganza contra la sociedad,Ejecutada por ahorcamiento en la prisión de Pankrác el 12 de marzo de 1975. Fue la última mujer ejecutada en Checoslovaquia,"Praga, República Checa",8,10 de julio de 1973,10 de julio de 1973,30 de junio de 1951
89,Asesina en serie,Parricida - Envenenadora,Condenada a cadena perpetua,"Coronel Suárez, Buenos Aires, Argentina",4,1962 - 1977,Enero 1978,1936
90,Asesina,Parricidio - Agredió violentamente a sus hijos motivada por los celos y sospechas de infidelidad de su pareja,"Condenada a presidio perpetuo, del cual deberá cumplir como mínimo 20 años, el 18 de enero de 2010","Puente Alto, Santiago, Chile",1,17 de enero de 2008,17 de noviembre de 2008,1969
91,Infanticida,Nadie sabía de los embarazos,Condenada a 15 años de prisión el 1 de junio de 2006,"Brieskow-Finkenheerd, Alemania",9,1988 - 1998,1 de agosto de 2005,1966
92,Asesina en serie,Violaciones y abusos sexuales,"En compensación a su testimonio contra su marido, se le otorgó una sentencia reducida. Fue encontrada culpable de homicidio y sentenciada a 12 años de cárcel.  Posteriormente, fue puesta en libertad el 4 de julio de 2005. En la actualidad vive en las Antillas, en una ciudad desconocida, con sus tres hijos y su actual esposo, Thierry Bordelais","Ontario, Canadá",3,1990 - 1992,19 de febrero de 1993,4 de mayo de 1970
93,Homicida,Menor de edad (15 años) - El cuerpo de la víctima tenía 45 heridas en la cabeza y otras muchas en las manos,"Fue condenada a permanecer en prisión hasta obtener el beneplácito de Su Majestad, el 28 de agosto de 1954. Posteriormente quedó en libertad en 1959","Christchurch, Nueva Zelanda",1,22 de junio de 1954,23 de junio de 1954,28 de octubre de 1938
94,Homicida,Directora de la Maternidad del hospital Kotobuki,Condenada a 8 años de prisión. Sentencia rebajada en apelación a 4 años en prisión en 1952,"Tokio, Japón",103 - 169,1944 - 1948,15 de enero de 1948,1897
95,Homicida en masa,Parricida,Condenada a 24 años de prisión el 5 de noviembre de 1992. Sentencia reducida a 18 años. Puesta en libertad en octubre de 2001,"Castrillón, Asturias, España",4,26 de noviembre de 1991,Día siguiente,1962
96,Asesina,Robos,Condenada a 137 años de prisión el 6 de julio de 2007,"Madrid, España",2,18 abril / 8 julio 2003,15 de julio de 2003,1964
97,Asesina,Asesinato por encargo - Parricidio,"Margarita Jimeno, Francisco Leonardo García y Moisés Macía fueron condenados a 23 años de prisión en 2002 después de que el Tribunal Superior de Justicia de la Comunidad Valenciana anulara en 2001 una sentencia que absolvía a uno de los procesados","Alicante, España",1,9 de febrero de 1999,24 de febrero de 1999,"Juan Galán Andrada, de 43 años (su marido)"
