,Class,Subclass,Condena,Location,Victims,Date murder,Date Detention,Victim Profile
98,Asesina,Asaltos y robos,Fue condenada a muerte el 22 de enero de 1945. Posteriormente fue indultada y liberada en mayo de 1954,"Londres, Inglaterra, Gran Bretaña",1,7 de octubre de 1944,10 de octubre de 1944,5 de julio de 1926
99,Asesina en serie,Enfermera - Ponía en peligro mortal a sus víctimas con el propósito de convertirse en una heroína al salvarlas,Fue condenada por el asesinato de Chelsea Ann McClellan a 99 años de prisión el 15 de mayo de 1984,"San Antonio, Estados Unidos (Texas)",11 +,1977 - 1982,21 de noviembre de 1982,13 de julio de 1950
100,Asesina,Parricida - Abandonó el cuerpo en un monte dentro de una maleta,Condenada a 20 años de prisión el 31 de octubre de 2012,"Menorca, Baleares, España",1,10 de julio de 2008,26 de noviembre de 2010,1980
101,Asesina en serie,Envenenadora - Engañó a su marido y otros dos hombres a ingerir cianuro y así poder heredar sus bienes y pagar deudas,Condenada a pena de muerte el 7 de noviembre de 2017,"Kioto, Japón",3 - 9,1994 - 2013,19 de noviembre de 2014,1947
102,Asesina,Descuartizadora - Robo,Condenada a pena de muerte. Conmutada. Murió en 1911,"Viena, Austria",1,4 de octubre de 1904,17 de octubre de 1904,1868
103,Asesina,Parricida - Tortura,Condenada a dos cadenas perpetuas consecutivas el 17 de octubre de 1995,"Varias, Estados Unidos (California)",2 +,1984 / 1985,10 de noviembre de 1993,12 de marzo de 1946
104,Asesina,"Instigada por su amante, con quien mantenía una relación perversa, mató a su hija como muestra suprema de su amor por él",Condenada a cadena perpetua el 6 de junio de 1956,"Vendôme, Loir y Cher, Francia",1,8 de noviembre de 1954,8 de noviembre de 1954,17 de marzo de 1926
105,Asesina en serie,Estafadora,Condenada a 40 años de prisión el 11 de septiembre de 2002,"Varios lugares, Colombia",6,1994 - 1998,13 de enero de 1999,196?
106,Asesina,Parricida - Envenenadora,Condenada a trabajos forzados de por vida el 19 de septiembre de 1840. Puesta en libertad en junio de 1852. Muere el 7 de septiembre de 1852,"Corrèze, Francia",1,3 de enero de 1840,26 de enero de 1840,15 de enero de 1816
107,Asesina,Conocida por su participación en la tortura y asesinato de esclavos de raza negra,Huyó antes de que pudiera ser puesta a disposición judicial. Nunca fue detenida. Murió en París el 7 de diciembre de 1842,"Nueva Orleans, Estados Unidos (Luisiana)",Numerosas,1831 - 1834,c. 1775,Esclavos de raza negra
108,Asesina,"Parricida - Decapitó, desmembró, sacó el corazón y los ojos a su madre y a su hermana por creer que realizaban brujería en su contra",En prisión a la espera de ser juzgada,"Tijuana, México",2,9 de junio de 2015,19 de junio de 2015,1996
109,Asesina en masa,Parricida - Triángulo sentimental,Condenada a cadena perpetua el 19 de diciembre de 2008,"Nivelles, Bélgica",5,28 de febrero de 2007,Mismo día (intenta suicidarse),1966
110,Asesina,Parricidio,Condenada a 20 años de prisión el 6 de julio de 2006. Sentencia rebajada a 12 años el 21 de mayo del 2007. Puesta en libertad el 20 de mayo de 2009,"San Juan de Miraflores, Lima, Perú",1,5 de agosto de 2005,Mismo día,1987
111,Asesina,Malos tratos,Condenada a 20 años de prisión el 23 de octubre de 1988,"Zamora, España",1,3 de enero de 1988,3 de enero de 1988,1936
112,Asesina en serie,«Cazadores de indigentes» - Junto con su amante estaban en una cruzada para librar a la ciudad de Moscú de vagabundos y alcohólicos,En prisión a la espera de ser juzgada,"Moscú, Rusia",12,2014 - 2015,18 de febrero de 2015,1989
113,Asesina,"Parricida - Dijo que ""había matado por amor""",Condenada a doce años de prisión en 1998. Puesta en libertad el 9 de abril de 2000,"Necochea, Argentina",1,14 de febrero de 1998,14 de febrero de 1998,1923
114,Homicida,Longet mantuvo que el disparo fue accidental - Errores en la investigación,Condenada por el cargo de negligencia criminal y sentenciada a pagar una multa y pasar 30 días en la cárcel el 31 de enero de 1977,"Aspen, Estados Unidos (Colorado)",1,21 de marzo de 1976,Mismo día,29 de enero de 1942
115,Homicida,Descuartizamiento,"Fue condenada a seis años y un día de prisión por homicidio, más cinco meses de arresto por inhumación ilegal","Valencia, España",1,27 de junio de 1950,5 de julio de 1950,1915
116,Asesina,Parricida - La madre metió ambos cadáveres en bolsas de plástico y los guardó en sendos congeladores de su domicilio,Condenada a 35 años de prisión el 3 de septiembre de 2014,"Pilas, Sevilla, España",2,2002 - 2008 / 2011,9 de noviembre de 2012,1979
117,Asesina en serie,Parricidio,Condenada a cadena perpetua en Texas el 30 de mayo y el 6 de junio de 1991 / Condenada a cadena perpetua en Kansas en 1990,"Varias, Estados Unidos (Kansas), Estados Unidos (Texas)",4 - 7,1976 - 1990,5 de mayo de 1990,21 de noviembre de 1958
118,Asesina,Parricida - Conservó el cadáver durante dos años en un arcón frigorífico,Condenada a 20 años de prisión el 8 de marzo de 2000,"Éibar, Guipúzcoa, España",1,27 de agosto de 1994,30 de septiembre de 1996,????
119,Asesina,Mató a una conocida para apoderarse de su bebé ante la presunta imposibilidad de ser madre por causas naturales,Condenada por la Audiencia Provincial de A Coruña a 30 años de prisión el 30 de mayo de 2006. El Tribunal Supremo redujo en dos años la condena al eliminar la agravante de confianza en julio de 2007,"Fene, A Coruña, España",1,13 de agosto de 2002,20 de septiembre de 2002,"Vanessa Lorente Jiménez, de 22 años"
120,Asesina en serie,Envenenadora - Para heredar y conseguir el dinero de los seguros de vida,Ejecutada por decapitación el 6 de diciembre de 1938,"Viena, Austria",4,1932 - 1937,1938,1904
121,¿Asesina en serie?,Secuestro - Proxenetismo - Algunos expertos como Elsa Plaza y Jordi Corominas sostienen que los asesinatos de Enriqueta Martí fueron una invención de la prensa de la época,Nunca fue juzgada. Murió en prisión el 12 de mayo de 1913,"Barcelona, España",¿10?,1902 - 1912,27 de febrero de 1912,1868
122,Asesina,"Parricida - «Suicidio ampliado» - Porque sufría «miedos inexplicables», aunque no concretó de dónde procedían ni por qué motivos",Condenada a 30 años de prisión el 25 de mayo de 2006,"Barcelona, España",2,4 de junio de 2005,Mismo día (intenta suicidarse arrojándose por la ventana),4 de junio de 1970
123,Asesina,"Parricida - Su marido era ""un hombre de mala conducta, violento y pendenciero, con numerosos antecedentes penales, adicto al alcohol y las drogas, cuya única fuente de ingresos era explotar a prostitutas""",Condenada a 6 años y 6 meses de prisión el 28 de diciembre de 1987. Puesta en libertad el 5 de febrero de 1990,"Ondara, Alicante, España",1,22 de octubre de 1986,22 de octubre de 1986,1950
124,Asesina en serie,Tortura - Sadismo,Fue condenada a 10 años de prisión por los asesinatos de las hermanas Guadalupe y Crescencia Pineda. Anteriormente fue sentenciada a 13 años de prisión por la muerte de Casimira Juárez. Murió en la cárcel de Belén antes de cumplir su última condena,"Ciudad de México, México",3,1878 / 1892,Casimira Juárez / Guadalupe y Crescencia Pineda,Indeterminado - Distintos tipos de tortura
125,Asesina,Intereses económicos - Actuó en colaboración con su esposo y una cómplice para exprimir a un labrador que se dejó embaucar,"Algemesí, Valencia, España",Veneno (arsénico y oxicianuro de mercurio),1,29 de mayo de 1955,"Miguel Lerma Magraner, de 56 años",Veneno (arsénico y oxicianuro de mercurio)
126,Asesina,Parricida,Ejecutada en la horca el 9 de enero de 1900,"Londres, Inglaterra, Gran Bretaña",1,27 de octubre de 1899,27 de octubre de 1899,1866
127,Asesina,¿Envenenadora?,Condenada a pena de muerte el 31 de julio de 1889. Conmutada por cadena perpetua el 22 de agosto de 1889. Fue puesta en libertad en 1904. Murió el 23 de octubre de 1941,"Liverpool, Inglaterra, Gran Bretaña",1 ?,11 de mayo de 1889,Tres días después,3 de septiembre de 1862
128,Asesina,Robos - Adicta al crack,Condenada a pena de muerte el 1 de noviembre de 2002. Ejecutada por inyección letal el 26 de junio de 2013,"Lancaster, Estados Unidos (Texas)",1 - 3,1988 / 1997,22 de julio de 1997,11 de mayo de 1961
129,Asesina,Envenenadora,Ejecutada en la horca el 18 de septiembre de 1953,"Blackpool, Inglaterra, Gran Bretaña",1,14 de abril de 1953,30 de abril de 1953,1906
130,Asesina,"Dominada por los celos, pagó a su guardaespaldas para que matara a su amante lesbiana",Condenada a 30 años de prisión el 7 de febrero de 2012,"Lima, Perú",1,23 de junio de 2009,2 de julio de 2009,"Su amante, la cantante folclórica Alicia Luisa Delgado Hilario, de 50 años"
131,Homicida,Parricida - «Diversos trastornos no atendidos la llevaron a dar muerte a sus hijos al escuchar voces creyendo ser del demonio que quería acabar con ellos y los asesina para que esto no pasara»,"Sentenciada a una Medida Preventiva por 30 años en un hospital Psiquiátrico, por ser considerada inimputable por su estado mental","Querétaro, México",3,24 de abril de 1989,Mismo día,1956
132,Homicida,Cobro de seguros de vida - Molina suplantó la identidad de la víctima durante dos años para contratar préstamos bancarios y seguros de vida de más de un millón de euros,"Condenada a 22 años de prisión por falsedad documental y asesinato el 19 de marzo de 2012. Posteriormente, el 5 de junio de 2013, el Tribunal Supremo rebajó la condena a 18 años de cárcel tras cambiar la consideración del crimen de asesinato a homicidio doloso","Barcelona, España",1,19 de febrero de 2008,12 de marzo de 2008,"Ana María Páez, de 35 años (su amiga)"
133,Asesina,Parricida,Condenada a 10 años de prisión por asesinato y a 3 meses por profanación de cadáver el 21 de mayo de 2007,"Tallante, Cartagena, Murcia, España",1,10 de octubre de 2002,17 de mayo de 2004,1958
134,Asesina,Mató a una mujer embarazada para robarle el bebé,El Juzgado Mixto de Xalisco la condenó a 50 años de prisión por los delitos de homicidio calificado y aborto en 2015,"Tepic, Nayarit, México",1 + 1,21 de agosto de 2014,25 de agosto de 2014,"Nadia Catalina Arvizu Ávila, embarazada de ocho meses"
135,Asesina,Envenenadora,Condenada a reclusión perpetua el 28 de junio de 1985. Puesta en libertad el 20 de noviembre de 1995,"Buenos Aires, Argentina",3,Febrero - Marzo 1979,27 de abril de 1979,20 de mayo de 1930
136,Asesina en serie,Envenenadora - Robos,Condenada a más de 100 años de prisión en 2013 y 2014,"Varias localidades, Colombia",6,Agosto - Diciembre 2011,26 de diciembre de 2011,1984
137,Asesina,Parricida - Para conseguir el dinero de los seguros de vida,Ejecutada por inyección letal el 4 de septiembre de 2005,"Houston, Estados Unidos (Texas)",3,7 de abril de 1987,22 de abril de 1987,12 de abril de 1965
138,Asesina,Envenenadora - Parricida,Condenada a pena de muerte el 13 de octubre de 1934. Conmutada el 4 de diciembre de 1934. Puesta en libertad el 29 de agosto de 1945. Murió el 26 de noviembre de 1966,"París, Francia",1,21 de agosto de 1933,28 de agosto de 1933,11 de enero de 1915
139,Asesina en serie,Cuidadora de niños,Condenada a pena de muerte el 3 de marzo de 1921. Conmutada por cadena perpetua el 25 de mayo de 1921. Muere en prisión el 6 de mayo de 1929,"Copenhague, Dinamarca",9 - 16,1913 - 1920,12 de septiembre de 1920,23 de abril de 1883
140,Asesina,Parricidio - Síndrome de Münchhausen,"Condenada por la Audiencia Provincial de Murcia a 89 años de prisión en 1995. Un año después, el Tribunal Supremo rebajó sustancialmente la pena al apreciar una eximente incompleta de enfermedad mental y dejó la condena en 48 años. Murió a causa de un tumor cerebral en 2008","La Unión, Murcia, España",3,1982 / 1990 / 1991,Diciembre de 1991,26 de febrero de 1948
141,Asesina,Beneficio económico,Condenada a cadena perpetua el 21 de abril de 1927. Puesta en libertad en 1938. Muere en 1941,"Condado de Vinton, Estados Unidos (Ohio)",2,1926 / 1927,Marzo de 1927,1902
142,Asesinas,Mutilación (arrancaron los ojos a las víctimas con los dedos),"Christine fue condenada a pena de muerte, sentencia conmutada por cadena perpetua. Fue internada en el Psiquiátrico de Rennes donde murió el 17 de mayo de 1937. / Léa fue condenada a 10 años de prisión. Fue puesta en libertad en 1941. Murió en 1981","Le Mans, Sarthe, Francia",2,2 de febrero de 1933,Mismo día,Christine - 8 de marzo de 1905 / Léa - 15 de septiembre de 1911
143,Homicida,Menor de edad (16 años) - El cuerpo de la víctima tenía 45 heridas en la cabeza y otras muchas en las manos,"Fue condenada a permanecer en prisión hasta obtener el beneplácito de Su Majestad, el 28 de agosto de 1954. Fue puesta en libertad cinco años después","Christchurch, Nueva Zelanda",1,22 de junio de 1954,23 de junio de 1954,26 de mayo de 1938
144,Asesina,Triangulo amoroso,Ejecutada en la horca en la prisión de Newgate el 23 de diciembre de 1890,"Londres, Inglaterra, Gran Bretaña",2,24 de octubre de 1890,27 de octubre de 1890,1866
145,Asesina,Crímenes por encargo,Condenada a presidio perpetuo el 25 de febrero de 2011. No podrá acceder a beneficios carcelarios antes de 40 años de internación efectiva,"Providencia, Santiago, Chile",3,Abr. / Nov. 2008,1952,Su exesposo Francisco Zamorano y su pareja Héctor Arévalo / Diego Schmidt-Hebbel Niehaus
146,Asesina,Mató a cuchilladas a su «amiga» en la habitación de un hotel,Condenada a 20 años de prisión el 10 de septiembre de 2012,"Ciudad de México, México",1,12 de junio de 2010,13 de julio de 2011,1991
147,Asesina,"El rumor popular la hizo responsable de varios envenenamientos, pero la justicia logró probarle dos",Condenada a 30 años de reclusión mayor por un asesinato y a 12 años y un día por el otro en 1960,"Palma de Mallorca, España",2,1957 / 1959,"José Nolla Carbonell (su marido) / Luisa Ollé Candalia, de 64 años (su jefa)",Veneno (arsénico)
148,Asesina,Celos,Ejecutada en la silla eléctrica el 8 de abril de 1899,"N. Y. City, Estados Unidos (Nueva York)",1,7 de febrero de 1899,7 de febrero de 1899,1854
149,Asesina,Envenenadora - La última mujer ejecutada en España,Ejecutada en el garrote vil el 19 de mayo de 1959,"Valencia, España",1,19 de mayo de 1955,20 de febrero de 1957,1928
150,Asesina,Ayudó a su amiga Tracey Wigginton en el asesinato de un hombre supuestamente para beber su sangre,Fue condenada a cadena perpetua en febrero de 1991,"Brisbane, Queensland, Australia",1,20 de octubre de 1989,21 de octubre de 1989,"Edward Baldock, de 47 años"
151,Asesina en serie,Envenenadora,Condenada a cadena perpetua sin posibilidad de libertad condicional el 11 de diciembre de 1993. Muere en prisión el 27 de marzo de 2011,"Sacramento, Estados Unidos (California)",3 - 9 +,1982 - 1988,17 de noviembre de 1988,9 de enero de 1929
152,Asesina en serie,Robo,Ejecutada en la horca el 20 de diciembre de 2010,"Qazvin, Irán",5,Febrero de 2008 – Mayo de 2009,19 de mayo de 2009,1977
153,Asesina,Parricidio - Descuartizamiento,Fue condenada a 40 años de prisión,"Ciudad de México, México",1,19 de julio de 1971,"Pablo Díaz Ramírez, de 53 años (su marido)",Golpes con un bate
154,Asesina,Parricida,Condenada a 31 años en prisión el 21 de septiembre de 2010,"Burgos, España",2,2 de agosto de 2009,6 de agosto de 2009,1982
155,Asesina,Parricidio - Cualquier acontecimiento que alterara su equilibrio vital tenía que ser eliminado,Condenada por la Audiencia de Barcelona a 57 años de prisión por un delito de parricidio y otro de asesinato,"Barcelona, España",2,1959 / 1960,"Su segundo marido, Francisco García González, y su nuera, Rosalía Galindo Márquez. También fue sospechosa de la muerte de su hija Juana, y de un bebé dejado a su cuidado",Veneno (arsénico) - ¿Asfixia?
156,Asesina,Parricidio,"Condenada a la pena de veintiséis años, ocho meses y un día de reclusión. Internada en el  hospital psiquiátrico de Ciempozuelos el 24 de diciembre de 1935. Murió de cáncer el 28 de diciembre de 1956","Madrid, España",1,9 de junio de 1933,Mismo día (se entrega),23 de abril de 1879
157,Asesinas,«Brujería» - Descuartizamiento - Quemaron parte de los restos,Condenadas a 80 años de prisión,"El Coyuco, Hidalgo, México",2,30 de junio de 2008,Mismo día,1985
158,Asesina,Parricida - Ofuscada porque su marido la había echado de su lado y le iba a quitar a sus hijos,Condenada a la pena de penitenciaría por tiempo indeterminado el 20 de septiembre de 1894,"Necochea, Argentina",2,30 de junio de 1892,1865,"Su hijo Ponciano Carballo Rojas, de seis años, y su hija Felisa, de 4 años"
159,Asesina,Parricida - Había advertido que mataría a su hija «como los leones» antes de perderla,Condenada a 18 años de prisión el 4 de abril de 2012,"Alicante, España",1,17 de agosto de 2011,Mismo día,1978
160,Asesina,La víctima era la tercera cantante latina con más discos vendidos solo después de Gloria Estefan y Shakira,"Condenada a cadena perpetua el 23 de octubre de 1995, con posibilidad de libertad condicional tras treinta años","Corpus Christi, Estados Unidos (Texas)",1,31 de marzo de 1995,Mismo día,19 de septiembre de 1950
161,Asesina en serie,Descuartizamiento - ¿Canibalismo?,En prisión a la espera de juicio,"San Petesburgo, Rusia",1 - 11,1995 - 2015,28 de julio de 2015,1947
162,Asesina en masa,Venganza - Empleada del servicio postal,Se suicida el mismo día disparándose en la cabeza,"Goleta, Estados Unidos (California)",7,30 de enero de 2006,6 de diciembre de 1961,"Beverly Graham, 54 / Ze Fairchild, 37 / Maleka Higgins, 28 / Nicola Grant, 42 / Guadalupe Swartz, 52 / Dexter Shannon, 57 / Charlotte Colton, 44"
163,Asesina en serie,Robos,Condenada a 195 años y 11 meses de cárcel el 21 de diciembre de 2012. La pena fue rebajada en apelación en 65 años y meses de cárcel,"Nuevo León, México",5,Enero - Mayo 2010,4 de junio de 2010,1979
164,Asesina en serie,Robos,Condenada a 144 años y 7 meses de prisión el 2 de julio de 2008,"Barcelona, España",3,Junio - Julio 2006,5 de julio de 2006,22 de julio de 1957
165,Asesina en serie,Partera que practicaba abortos ilegales y traficaba con niños,Se suicidó con una sobredosis de Nembutal el 16 de junio de 1941 antes de ser juzgada,"México, D. F., México",40 - 50,1930 - 1941,11 de abril de 1941,1890's
166,Asesina en serie,Envenenadora - Robos,"Nunca fue condenada por asesinato. Condenada a 34 años de prisión por tres delitos de lesiones, tres delitos de robo con violencia y un delito de falsedad","L'Hospitalet, Barcelona, España",4,1992 - 1993,19 de junio de 1996,26 de diciembre de 1953
167,Homicida,Menor de edad (11 años),Condenada a 8 años de prisión,"Berlín, Alemania",1,1886,1886,1 de mayo de 1874
168,Asesina,Celos - Relación homosexual,Fue condenada a pena de muerte el 22 de febrero de 1952. Posteriormente la pena fue conmutada por la de cadena perpetua. Fue puesta en libertad en 1983,"Cornualles, Inglaterra, Gran Bretaña",1,12 de enero de 1952,12 de enero de 1952,1931
169,Asesina,Asesinato por encargo - Parricidio - Intereses económicos,"La sentencia del tribunal consideró a Cesárea Sierra merecedora de una condena de 27 años de cárcel, igual a la que cayó sobre el autor material del delito, David Florencio Jiménez Ortega","Madrid, España",1,28 de febrero de 1995,"Fermín Canales Pueyo, de 59 años (su marido)",Golpes con un martillo
170,Asesina,Parricida - Afirmó que un hombre afroamericano había robado su coche y secuestrado a sus hijos,Condenada de 30 años en prisión a cadena perpetua el 27 de julio de 1995,"Union, Estados Unidos (Carolina del Sur)",2,24 de octubre de 1994,3 de noviembre de 1994,26 de septiembre de 1971
171,Asesina,"Parricida - Temía que le retirasen la custodia de sus hijos, después de la detención del padre por pederastia",Condenada a 30 años de prisión el 2 de julio de 2012,"Lloret de Mar, Girona, España",2,17 de mayo de 2010,Día siguiente,1967
172,Asesina,Intereses económicos,Fue ejecutada en la silla eléctrica el 12 de enero de 1928,"Nueva York, Estados Unidos (Nueva York)",1,20 de marzo de 1927,20 de marzo de 1927,1895
173,Asesina,Robo,Condenada a reclusión perpetua el 7 de julio de 1990. Obtuvo la libertad condicional el 3 de enero de 2006,"Buenos Aires, Argentina",2,14 de septiembre de 1984,19 de septiembre de 1984,24 de octubre de 1962
174,Asesina,Descuartizamiento - Mutilación,Condenada a 21 años de prisión en 1976,"León, España",1,3 de mayo de 1975,30 de mayo de 1975,1934
175,Asesina,Parricida - Crimen en familia,Condenada a 28 años de prisión el 2 de junio de 1982. Puesta en libertad en 1997,"Esplús, Huesca, España",1,28 de junio de 1981,9 de octubre de 1981,1943
176,Asesina,Asesinatos rituales - Perversión sexual - Se representó a sí misma como una diosa y ordenó numerosos sacrificios,"Magdalena Solís y su hermano Eleazar fueron condenados a 50 años de prisión por los asesinatos de Luis Martínez y Sebastián Guerrero. El resto de los crímenes se dieron a conocer con posterioridad, una vez que algunos de los miembros del culto rompieron el voto de silencio","Yerba Buena, Nuevo León, México",2 - 8 +,1963,31 de mayo de 1963,"Sebastián Guerrero, de 14 años / Luis Martínez (oficial de policía)"
177,Homicida,Menor de edad (16) - Tiroteo en una escuela,Condenada de 25 años a cadena perpetua,"San Diego, Estados Unidos (California)",2,29 de enero de 1979,29 de enero de 1979,3 de abril de 1962
178,Asesina,Parricida,Murió en Gran Bretaña en junio de 1954,"París, Francia",2,30 de mayo de 1908,Noviembre de 1908,16 de abril de 1869
179,Asesina en serie,Intereses económicos,Fue condenada a cadena perpetua en 1885. Murió en la prisión de Gorinchem el 11 de abril de 1915,"Leiden, Holanda Meridional, Países Bajos",27 +,1880 - 1883,Diciembre de 1883,9 de septiembre de 1839
180,Asesina,Parricida - Descuartizó los cadáveres de sus hijos y enterró los trozos en unas macetas,Condenada a 20 años de prisión. Puesta en libertad en septiembre de 2006,"Veracruz, México",2,18 de marzo de 1989,6 de abril de 1989,1965
181,Asesina,Triángulo amoroso,Fue ejecutada en la horca el 9 de enero de 1923,"Londres, Inglaterra, Gran Bretaña",1,3 de octubre de 1922,4 de octubre de 1922,25 de diciembre de 1893
182,Asesina en serie,Envenenadora,"Fue internada en el asilo mental de Tauton, Massachusetts, donde murió el 17 de agosto de 1938 a la edad de 81 años","Varias, Estados Unidos (Massachusetts)",31 +,1887 - 1901,29 de octubre de 1901,1857
183,Asesina,Robo,Ejecutada por inyección letal el 3 de febrero de 1998,"Houston, Estados Unidos (Texas)",2,13 de junio de 1983,20 de julio de 1983,18 de noviembre de 1959
184,Asesina,Parricida - Disparó a su marido en la cabeza mientras dormía y arrojó su cadáver al pozo de una mina abandonada,Condenada a cadena perpetua el 26 de agosto de 2014,"Cheyenne, Condado de Laramie, Estados Unidos (Wyoming)",1,Finales de 1974 o principios de 1975,29 de septiembre de 2013,1939
185,Asesina,Parricidio - Descuartizó y cocinó los restos de su pareja en venganza porque el hombre le robó cinco millones de pesos,Condenada a 6 años de prisión el 30 de abril de 2015,"Molina, Chile",1,5 de abril de 2014,Día siguiente (se entregó),1975
186,Homicida,Crimen pasional - Celos - Despecho,Condenada a 5 años de libertad de condicional el 14 de junio de 2002,"Braine-l'Alleud, Bélgica",1,26 de septiembre de 1998,26 de septiembre de 1998,1916
187,Asesina en serie,Niñera que estranguló a los niños a su cuidado,Internada en una institución psiquiátrica en 1908. Se suicida en 1910,"Varios lugares, Francia",1 - 8,1905 - 1908,Mayo de 1908,7 de octubre de 1874
188,Asesina,¿Envenenadora? - Descuartizamiento,Condenada a 20 años de prisión el 28 de febrero de 1991. Fue puesta en libertad el 17 de noviembre de 1999,"Nancy, Francia",1 - 2,1980 / 1985,8 de noviembre de 1985,28 de octubre de 1930
189,Asesina,Robo - Descuartizamiento,Ejecutada en la horca el 29 de julio de 1879,"Londres, Inglaterra, Gran Bretaña",1,2 de marzo de 1879,29 de marzo de 1879,1849
190,Asesina en serie,Tortura - Violación - Descuartizamiento,Condenada a cadena perpetua el 22 de noviembre de 1995,"Gloucester, Inglaterra, Gran Bretaña",10 +,1971 - 1987,Abril de 1994,29 de noviembre de 1953
191,Asesina,Mató a un hombre supuestamente para beber su sangre,Fue condenada a cadena perpetua en 1991. Salió de prisión el 11 de enero de 2012,"Brisbane, Queensland, Australia",1,20 de octubre de 1989,21 de octubre de 1989,1965
192,Asesina,Robo,Condenada a 16 años y seis meses de cárcel el 2 de agosto de 2015,"Cali, Valle del Cauca, Colombia",1,24 de junio de 2013,3 de julio de 2013,1988
193,Asesina,Auxiliar de enfermería - Mató a sus pacientes para reforzar un «pacto de amor» con su amante,Condenada de 20 a 40 años de prisión en septiembre de 1989,"Walker, Estados Unidos (Michigan)",1 - 5,Enero - Abril de 1987,Diciembre de 1988,1962
194,Asesina en serie,7 +,Ejecutada por inyección letal el 9 de octubre de 2002,"Varios lugares, Estados Unidos (Florida)",1989 - 1990,9 de enero de 1991,29 de febrero de 1956,Hombres
195,Homicida,Parricida - Depresión post-parto,"Condenada de 40 años a cadena perpetua en marzo de 2002. Sentencia revocada el 6 de enero de 2005. Encontrada no culpable ""por razones de demencia"" el 26 de julio de 2006. Internada en un hospital mental","Houston, Estados Unidos (Texas)",5,20 de junio de 2001,20 de junio de 2001,2 de julio de 1964
196,Asesina en serie,Envenenadora,Ejecutada por decapitación el 17 de septiembre de 1811,"Bavaria, Alemania",3 +,1808 - 1809,16 de octubre de 1809,7 de agosto de 1760
